ID da Venda,Data da Venda,Produto,Categoria,Preço Unitário,Quantidade Vendida,Desconto,Valor Total,Localização,Forma de Pagamento,id_registro,flag_quantidade_invalida
1001,2023-01-01 00:00:00.000000000,Livro G,Livros,60.0,6,0.05,57.0,Curitiba,Pix,1,False
1002,2023-01-01 05:49:40.386924616,Camisa D,Roupas,80.0,4,0.04,307.2,Salvador,Cartão de Débito,2,False
1003,2023-01-01 11:39:20.773849232,Calça E,Roupas,120.0,6,0.02,705.6,Curitiba,Boleto,3,False
1004,2023-01-01 17:29:01.160773849,Livro G,Livros,60.0,2,0.02,117.6,Salvador,Pix,4,False
1005,2023-01-01 23:18:41.547698465,Fone C,Eletrônicos,1626.54,2,0.07,3025.36,São Paulo,Cartão de Débito,5,False
1006,2023-01-02 05:08:21.934623082,Curso Online H,Educação,500.0,4,0.04,1920.0,São Paulo,Pix,6,False
1007,2023-01-02 10:58:02.321547698,Calça E,Roupas,120.0,2,0.09,218.4,Rio De Janeiro,Pix,7,False
1008,2023-01-02 16:47:42.708472314,Calça E,Roupas,120.0,2,0.07,223.2,São Paulo,Cartão de Débito,8,False
1009,2023-01-02 22:37:23.095396931,Livro G,Livros,60.0,3,0.07,167.4,Curitiba,Cartão de Crédito,9,False
1010,2023-01-03 04:27:03.482321547,Notebook B,Eletrônicos,3500.0,3,0.09,9555.0,Salvador,Cartão de Crédito,10,False
1011,2023-01-03 10:16:43.869246164,Fone C,Eletrônicos,1626.54,4,0.1,5855.54,Curitiba,Pix,11,False
1012,2023-01-03 16:06:24.256170780,Livro G,Livros,60.0,2,0.06,112.8,Rio De Janeiro,Pix,12,False
1013,2023-01-03 21:56:04.643095396,Fone C,Eletrônicos,1626.54,4,0.08,5985.67,São Paulo,Cartão de Crédito,13,False
1014,2023-01-04 03:45:45.030020013,Fone C,Eletrônicos,1626.54,3,0.04,4684.44,São Paulo,Cartão de Crédito,14,False
1015,2023-01-04 09:35:25.416944629,Curso Online H,Educação,500.0,3,0.05,1425.0,Rio De Janeiro,Cartão de Débito,15,False
1016,2023-01-04 15:25:05.803869246,Calça E,Roupas,120.0,7,0.08,772.8,Belo Horizonte,Cartão de Crédito,16,False
1017,2023-01-04 21:14:46.190793862,Camisa D,Roupas,80.0,4,0.05,304.0,Rio De Janeiro,Pix,17,False
1018,2023-01-05 03:04:26.577718479,Curso Online H,Educação,500.0,4,0.1,1800.0,Salvador,Pix,18,False
1019,2023-01-05 08:54:06.964643095,Curso Online H,Educação,500.0,3,0.05,1425.0,Curitiba,Cartão de Crédito,19,False
1020,2023-01-05 14:43:47.351567711,Fone C,Eletrônicos,1626.54,5,0.01,8051.37,São Paulo,Pix,20,False
1021,2023-01-05 20:33:27.738492328,Tênis F,Roupas,250.0,1,0.13,217.5,São Paulo,Cartão de Débito,21,False
1022,2023-01-06 02:23:08.125416944,Calça E,Roupas,120.0,3,0.03,349.2,Belo Horizonte,Cartão de Crédito,22,False
1023,2023-01-06 08:12:48.512341561,Notebook B,Eletrônicos,3500.0,2,0.09,6370.0,São Paulo,Cartão de Crédito,23,False
1024,2023-01-06 14:02:28.899266177,Curso Online H,Educação,500.0,0,0.03,1940.0,Curitiba,Cartão de Crédito,24,True
1025,2023-01-06 19:52:09.286190793,Camisa D,Roupas,80.0,3,0.03,232.8,Rio De Janeiro,Pix,25,False
1026,2023-01-07 01:41:49.673115410,Tênis F,Roupas,250.0,2,0.05,475.0,São Paulo,Cartão de Crédito,26,False
1027,2023-01-07 07:31:30.060040026,Tênis F,Roupas,250.0,2,0.01,495.0,Rio De Janeiro,Cartão de Crédito,27,False
1028,2023-01-07 13:21:10.446964643,Notebook B,Eletrônicos,3500.0,4,0.11,12460.0,Rio De Janeiro,Cartão de Crédito,28,False
1029,2023-01-07 19:10:50.833889259,Curso Online H,Educação,500.0,2,0.02,980.0,Curitiba,Cartão de Crédito,29,False
1030,2023-01-08 01:00:31.220813875,Camisa D,Roupas,80.0,2,0.03,155.2,São Paulo,Cartão de Crédito,30,False
1031,2023-01-08 06:50:11.607738492,Calça E,Roupas,120.0,-1,0.01,356.4,Curitiba,Cartão de Crédito,31,True
1032,2023-01-08 12:39:51.994663108,Smartphone A,Eletrônicos,1200.0,1,0.02,1176.0,Belo Horizonte,Boleto,32,False
1033,2023-01-08 18:29:32.381587725,Camisa D,Roupas,80.0,4,0.05,304.0,Belo Horizonte,Pix,33,False
1034,2023-01-09 00:19:12.768512341,Notebook B,Eletrônicos,3500.0,4,0.08,12880.0,São Paulo,Cartão de Crédito,34,False
1035,2023-01-09 06:08:53.155436958,Tênis F,Roupas,250.0,2,0.11,445.0,Belo Horizonte,Pix,35,False
1036,2023-01-09 11:58:33.542361574,Calça E,Roupas,120.0,3,0.02,352.8,Rio De Janeiro,Cartão de Crédito,36,False
1037,2023-01-09 17:48:13.929286190,Camisa D,Roupas,80.0,4,0.02,313.6,Rio De Janeiro,Cartão de Débito,37,False
1038,2023-01-09 23:37:54.316210807,Smartphone A,Eletrônicos,1200.0,3,0.03,3492.0,Curitiba,Cartão de Crédito,38,False
1039,2023-01-10 05:27:34.703135423,Smartphone A,Móveis,1200.0,4,0.07,4464.0,Rio De Janeiro,Cartão de Crédito,39,False
1040,2023-01-10 11:17:15.090060040,Fone C,Eletrônicos,1626.54,3,0.03,4733.23,Curitiba,Pix,40,False
1041,2023-01-10 17:06:55.476984656,Fone C,Eletrônicos,1626.54,1,0.06,1528.95,São Paulo,Cartão de Crédito,41,False
1042,2023-01-10 22:56:35.863909272,Livro G,Livros,60.0,2,0.08,110.4,Curitiba,Pix,42,False
1043,2023-01-11 04:46:16.250833889,Notebook B,Eletrônicos,3500.0,2,0.02,6860.0,São Paulo,Cartão de Crédito,43,False
1044,2023-01-11 10:35:56.637758505,Curso Online H,Educação,500.0,2,0.03,970.0,Curitiba,Cartão de Crédito,44,False
1045,2023-01-11 16:25:37.024683122,Camisa D,Roupas,80.0,2,0.07,148.8,Salvador,Pix,45,False
1046,2023-01-11 22:15:17.411607738,Camisa D,Roupas,80.0,-1,0.1,72.0,São Paulo,Cartão de Débito,46,True
1047,2023-01-12 04:04:57.798532354,Curso Online H,Educação,500.0,3,0.09,1365.0,Rio De Janeiro,Cartão de Crédito,47,False
1048,2023-01-12 09:54:38.185456971,Livro G,Livros,60.0,2,0.01,118.8,Belo Horizonte,Cartão de Crédito,48,False
1049,2023-01-12 15:44:18.572381587,Tênis F,Roupas,250.0,4,0.2,800.0,São Paulo,Cartão de Crédito,49,False
1050,2023-01-12 21:33:58.959306204,Tênis F,Roupas,250.0,3,0.07,697.5,Rio De Janeiro,Boleto,50,False
1051,2023-01-13 03:23:39.346230820,Livro G,Livros,60.0,3,0.03,174.6,Rio De Janeiro,Cartão de Débito,51,False
1052,2023-01-13 09:13:19.733155436,Tênis F,Roupas,250.0,1,0.07,232.5,Curitiba,Cartão de Crédito,52,False
1053,2023-01-13 15:03:00.120080053,Fone C,Eletrônicos,1626.54,2,0.04,3122.96,Curitiba,Pix,53,False
1054,2023-01-13 20:52:40.507004669,Camisa D,Roupas,80.0,2,0.09,145.6,Belo Horizonte,Cartão de Crédito,54,False
1055,2023-01-14 02:42:20.893929286,Livro G,Livros,60.0,4,0.04,230.4,Belo Horizonte,Cartão de Crédito,55,False
1056,2023-01-14 08:32:01.280853902,Camisa D,Roupas,80.0,2,0.01,158.4,Belo Horizonte,Cartão de Crédito,56,False
1057,2023-01-14 14:21:41.667778519,Curso Online H,Educação,500.0,3,0.07,1395.0,Rio De Janeiro,Cartão de Débito,57,False
1058,2023-01-14 20:11:22.054703135,Smartphone A,Eletrônicos,1200.0,3,0.07,3348.0,Rio De Janeiro,Cartão de Crédito,58,False
1059,2023-01-15 02:01:02.441627751,Fone C,Eletrônicos,1626.54,4,0.07,6050.73,Rio De Janeiro,Cartão de Débito,59,False
1060,2023-01-15 07:50:42.828552368,Calça E,Roupas,120.0,5,0.02,588.0,Salvador,Pix,60,False
1061,2023-01-15 13:40:23.215476984,Fone C,Eletrônicos,1626.54,1,0.09,1480.15,Belo Horizonte,Cartão de Crédito,61,False
1062,2023-01-15 19:30:03.602401601,Livro G,Livros,60.0,3,0.08,165.6,Rio De Janeiro,Cartão de Crédito,62,False
1063,2023-01-16 01:19:43.989326217,Calça E,Roupas,120.0,2,0.04,230.4,Curitiba,Cartão de Crédito,63,False
1064,2023-01-16 07:09:24.376250833,Smartphone A,Eletrônicos,1200.0,4,0.05,4560.0,Rio De Janeiro,Cartão de Débito,64,False
1065,2023-01-16 12:59:04.763175450,Livro G,Livros,60.0,2,0.12,105.6,Belo Horizonte,Boleto,65,False
1066,2023-01-16 18:48:45.150100066,Notebook B,Eletrônicos,3500.0,2,0.06,6580.0,Rio De Janeiro,Cartão de Crédito,66,False
1067,2023-01-17 00:38:25.537024683,Camisa D,Roupas,80.0,3,0.1,216.0,São Paulo,Cartão de Crédito,67,False
1068,2023-01-17 06:28:05.923949299,Smartphone A,Eletrônicos,1200.0,3,0.06,3384.0,Belo Horizonte,Cartão de Crédito,68,False
1069,2023-01-17 12:17:46.310873916,Camisa D,Roupas,80.0,1,0.11,71.2,Belo Horizonte,Cartão de Crédito,69,False
1070,2023-01-17 18:07:26.697798532,Tênis F,Roupas,250.0,2,0.06,470.0,Rio De Janeiro,Cartão de Débito,70,False
1071,2023-01-17 23:57:07.084723148,Notebook B,Eletrônicos,3500.0,5,0.1,15750.0,Rio De Janeiro,Cartão de Crédito,71,False
