ID da Venda,Data da Venda,Produto,Categoria,Preço Unitário,Quantidade Vendida,Desconto,Valor Total,Localização,Forma de Pagamento,id_registro,flag_quantidade_invalida,Valor_Total_Corrigido
1001,2023-01-01 00:00:00.000000000,Livro G,Livros,60.0,6,0.05,57.0,Curitiba,Pix,1,False,342.0
1002,2023-01-01 05:49:40.386924616,Camisa D,Roupas,80.0,4,0.04,307.2,Salvador,Cartão de Débito,2,False,307.2
1003,2023-01-01 11:39:20.773849232,Calça E,Roupas,120.0,6,0.02,705.6,Curitiba,Boleto,3,False,705.6
1004,2023-01-01 17:29:01.160773849,Livro G,Livros,60.0,2,0.02,117.6,Salvador,Pix,4,False,117.6
1005,2023-01-01 23:18:41.547698465,Fone C,Eletrônicos,1626.54,2,0.07,3025.36,São Paulo,Cartão de Débito,5,False,3025.3644
1006,2023-01-02 05:08:21.934623082,Curso Online H,Educação,500.0,4,0.04,1920.0,São Paulo,Pix,6,False,1920.0
1007,2023-01-02 10:58:02.321547698,Calça E,Roupas,120.0,2,0.09,218.4,Rio De Janeiro,Pix,7,False,218.4
1008,2023-01-02 16:47:42.708472314,Calça E,Roupas,120.0,2,0.07,223.2,São Paulo,Cartão de Débito,8,False,223.2
1009,2023-01-02 22:37:23.095396931,Livro G,Livros,60.0,3,0.07,167.4,Curitiba,Cartão de Crédito,9,False,167.39999999999998
1010,2023-01-03 04:27:03.482321547,Notebook B,Eletrônicos,3500.0,3,0.09,9555.0,Salvador,Cartão de Crédito,10,False,9555.0
1011,2023-01-03 10:16:43.869246164,Fone C,Eletrônicos,1626.54,4,0.1,5855.54,Curitiba,Pix,11,False,5855.544
1012,2023-01-03 16:06:24.256170780,Livro G,Livros,60.0,2,0.06,112.8,Rio De Janeiro,Pix,12,False,112.8
1013,2023-01-03 21:56:04.643095396,Fone C,Eletrônicos,1626.54,4,0.08,5985.67,São Paulo,Cartão de Crédito,13,False,5985.6672
1014,2023-01-04 03:45:45.030020013,Fone C,Eletrônicos,1626.54,3,0.04,4684.44,São Paulo,Cartão de Crédito,14,False,4684.4352
1015,2023-01-04 09:35:25.416944629,Curso Online H,Educação,500.0,3,0.05,1425.0,Rio De Janeiro,Cartão de Débito,15,False,1425.0
1016,2023-01-04 15:25:05.803869246,Calça E,Roupas,120.0,7,0.08,772.8,Belo Horizonte,Cartão de Crédito,16,False,772.8000000000001
1017,2023-01-04 21:14:46.190793862,Camisa D,Roupas,80.0,4,0.05,304.0,Rio De Janeiro,Pix,17,False,304.0
1018,2023-01-05 03:04:26.577718479,Curso Online H,Educação,500.0,4,0.1,1800.0,Salvador,Pix,18,False,1800.0
1019,2023-01-05 08:54:06.964643095,Curso Online H,Educação,500.0,3,0.05,1425.0,Curitiba,Cartão de Crédito,19,False,1425.0
1020,2023-01-05 14:43:47.351567711,Fone C,Eletrônicos,1626.54,5,0.01,8051.37,São Paulo,Pix,20,False,8051.373
1021,2023-01-05 20:33:27.738492328,Tênis F,Roupas,250.0,1,0.13,217.5,São Paulo,Cartão de Débito,21,False,217.5
1022,2023-01-06 02:23:08.125416944,Calça E,Roupas,120.0,3,0.03,349.2,Belo Horizonte,Cartão de Crédito,22,False,349.2
1023,2023-01-06 08:12:48.512341561,Notebook B,Eletrônicos,3500.0,2,0.09,6370.0,São Paulo,Cartão de Crédito,23,False,6370.0
1025,2023-01-06 19:52:09.286190793,Camisa D,Roupas,80.0,3,0.03,232.8,Rio De Janeiro,Pix,25,False,232.79999999999998
1026,2023-01-07 01:41:49.673115410,Tênis F,Roupas,250.0,2,0.05,475.0,São Paulo,Cartão de Crédito,26,False,475.0
1027,2023-01-07 07:31:30.060040026,Tênis F,Roupas,250.0,2,0.01,495.0,Rio De Janeiro,Cartão de Crédito,27,False,495.0
1028,2023-01-07 13:21:10.446964643,Notebook B,Eletrônicos,3500.0,4,0.11,12460.0,Rio De Janeiro,Cartão de Crédito,28,False,12460.0
1029,2023-01-07 19:10:50.833889259,Curso Online H,Educação,500.0,2,0.02,980.0,Curitiba,Cartão de Crédito,29,False,980.0
1030,2023-01-08 01:00:31.220813875,Camisa D,Roupas,80.0,2,0.03,155.2,São Paulo,Cartão de Crédito,30,False,155.2
1032,2023-01-08 12:39:51.994663108,Smartphone A,Eletrônicos,1200.0,1,0.02,1176.0,Belo Horizonte,Boleto,32,False,1176.0
1033,2023-01-08 18:29:32.381587725,Camisa D,Roupas,80.0,4,0.05,304.0,Belo Horizonte,Pix,33,False,304.0
1034,2023-01-09 00:19:12.768512341,Notebook B,Eletrônicos,3500.0,4,0.08,12880.0,São Paulo,Cartão de Crédito,34,False,12880.0
1035,2023-01-09 06:08:53.155436958,Tênis F,Roupas,250.0,2,0.11,445.0,Belo Horizonte,Pix,35,False,445.0
1036,2023-01-09 11:58:33.542361574,Calça E,Roupas,120.0,3,0.02,352.8,Rio De Janeiro,Cartão de Crédito,36,False,352.8
1037,2023-01-09 17:48:13.929286190,Camisa D,Roupas,80.0,4,0.02,313.6,Rio De Janeiro,Cartão de Débito,37,False,313.6
1038,2023-01-09 23:37:54.316210807,Smartphone A,Eletrônicos,1200.0,3,0.03,3492.0,Curitiba,Cartão de Crédito,38,False,3492.0
